service_type,position_location,occupation_series,occupation_name,grade_code,low_grade,high_grade,usajobs_control_number,position_title,hiring_agency,position_open_date,position_close_date,occupation_full,grade_level
Excepted,"Saint Thomas, Virgin Islands",0301,Miscellaneous Administration And Program,HS-4/5,4,5,775261600,Green & Gold Congressional Aide Program,Legislative Branch,2025-06-27 13:00:50.263,2025-12-31T23:59:59.9970,0301 - Miscellaneous Administration And Program,HS-4/5
Excepted,"Ann Arbor, Michigan",0301,Miscellaneous Administration And Program,HS-4/5,4,5,775261900,Green & Gold Congressional Aide Program,Legislative Branch,2025-06-27 13:00:51.900,2025-12-31T23:59:59.9970,0301 - Miscellaneous Administration And Program,HS-4/5
Excepted,"Cherry Hill, New Jersey",0301,Miscellaneous Administration And Program,HS-4/5,4,5,781073700,Green & Gold Congressional Aide Program,Legislative Branch,2025-06-27 13:00:54.697,2025-12-31T23:59:59.9970,0301 - Miscellaneous Administration And Program,HS-4/5
Excepted,"Dover, New Hampshire",0301,Miscellaneous Administration And Program,HS-4/5,4,5,790448300,Green & Gold Congressional Aide Program,Legislative Branch,2025-06-27 13:00:56.090,2025-12-31T23:59:59.9970,0301 - Miscellaneous Administration And Program,HS-4/5
Excepted,"Golden, Colorado",6912,Materials Examining And Identifying,WG-7,7,7,796588500,MATERIALS EXAMINER AND IDENTIFIER (HAZMAT),Department of the Army,2025-06-25 15:49:45.180,2025-07-25T23:59:59.9970,6912 - Materials Examining And Identifying,WG-7
Excepted,"Cheyenne, Wyoming",2152,Air Traffic Control,GS-10/11,10,11,800167300,AIR TRAFFIC CONTROL SPECIALIST (TERMINAL),Department of the Air Force,2025-06-30 10:05:17.160,2025-07-15T23:59:59.9970,2152 - Air Traffic Control,GS-10/11
Excepted,"Lowell, Massachusetts",0301,Miscellaneous Administration And Program,HS-4/5,4,5,801726100,Green & Gold Congressional Aide Program,Legislative Branch,2025-06-03 09:00:51.657,2025-12-31T23:59:59.9970,0301 - Miscellaneous Administration And Program,HS-4/5
Excepted,"Buckley AFB, Colorado",8268,Aircraft Pneudraulic Systems Mechanic,WG-10,10,10,804573300,AIRCRAFT PNEUDRAULIC/FUELS SYSTEM MECHANIC,Department of the Air Force,2025-06-18 09:17:24.140,2025-07-18T23:59:59.9970,8268 - Aircraft Pneudraulic Systems Mechanic,WG-10
Excepted,"Winterhaven, California",0670,Health System Administration,GS-15,15,15,817106000,Health System Administrator (CEO),Department of Health and Human Services,2025-07-02 13:32:40.150,2025-07-17T23:59:59.9970,0670 - Health System Administration,GS-15
Competitive,"Fort Defiance, Arizona",0456,Wildland Fire Management,GS-9,9,9,819777800,Supervisory Wildland Firefighter - Direct Hire Authority,Department of the Interior,2025-06-26 15:55:33.253,2025-07-18T23:59:59.9970,0456 - Wildland Fire Management,GS-9
Competitive,"Portsmouth, Virginia",7408,Food Service Working,NA-4,4,4,820514200,FOOD SERVICE WORKER,Department of the Navy,2025-06-23 00:00:00.000,2025-07-07T23:59:59.9970,7408 - Food Service Working,NA-4
Excepted,"Supai, Arizona",0679,Medical Support Assistance,GS-5/6,5,6,825359900,Medical Support Assistant,Department of Health and Human Services,2025-07-02 13:23:27.877,2025-07-30T23:59:59.9970,0679 - Medical Support Assistance,GS-5/6
